pid,label,source,_date,location_of_convention,order,layout,collection
cin_hunts,Bishop Turner’s Proposed National Convention,Huntsville Gazette,10-28-1893,Cincinnati,10,ccp_item,ccp
cin_cle,Parham’s Reply,Cleveland Gazette,5-14-1892,Cincinnati,9,ccp_item,ccp
